Seat4B,true,1490512006149
TotalSeatCount,1,1490512006150
SoundC,54.210802194865956,1490512006948
Present,98,1490512006951
Temperature,22.84,1490512011833
Humidity,26.35785788124592,1490512011845
Brightness,827.0,1490512011859
SoundC,46.78757012382582,1490512016953
Present,101,1490512016956
SoundC,48.55773214739296,1490512026959
Present,88,1490512026961
MoveFocus,GoTour,1490512033187
SoundC,50.159038478285424,1490512036968
Present,128,1490512036971
SoundC,51.62091662308819,1490512046973
Present,89,1490512046976
SoundRight,50.159038478285424,1490512056639
SoundC,44.808697341762915,1490512056981
Present,80,1490512056984
SoundC,52.96571415471127,1490512066986
Present,95,1490512066989
Temperature,22.84,1490512072764
Humidity,26.35785788124592,1490512072776
Brightness,827.0,1490512072790
SoundC,48.55773214739296,1490512076991
Present,90,1490512076994
WhiteboardUsed,false,1490512083538
WhiteboardUsed,true,1490512085066
SoundC,46.78757012382582,1490512086996
Present,96,1490512086999
MoveFocus,GoTour,1490512093347
SoundC,42.56523641427832,1490512097001
Present,90,1490512097004
SoundC,51.62091662308819,1490512107008
Present,73,1490512107011
SoundRight,51.62091662308819,1490512116652
SoundC,44.808697341762915,1490512117013
Present,93,1490512117022
SoundC,48.55773214739296,1490512127025
Present,140,1490512127034
Temperature,22.84,1490512133278
Humidity,26.35785788124592,1490512133290
Brightness,827.0,1490512133303
SoundC,46.78757012382582,1490512137036
Present,91,1490512137045
SoundC,46.78757012382582,1490512147061
Present,97,1490512147064
MoveFocus,GoTour,1490512153412
SoundC,42.56523641427832,1490512157067
Present,120,1490512157070
SoundC,44.808697341762915,1490512167072
Present,95,1490512167081
SoundRight,58.433135904413454,1490512176682
SoundC,48.55773214739296,1490512177083
Present,92,1490512177092
SoundC,46.78757012382582,1490512187101
Present,141,1490512187103
Temperature,22.84,1490512194007
Humidity,26.35785788124592,1490512194019
Brightness,827.0,1490512194031
SoundC,44.808697341762915,1490512197105
Present,94,1490512197120
SoundC,50.159038478285424,1490512207124
Present,92,1490512207134
MoveFocus,GoTour,1490512213498
SoundC,48.55773214739296,1490512217136
Present,125,1490512217146
SoundC,50.159038478285424,1490512227148
Present,85,1490512227157
SoundRight,51.62091662308819,1490512236712
SoundC,48.55773214739296,1490512237159
Present,100,1490512237169
SoundC,48.55773214739296,1490512247171
Present,101,1490512247180
Temperature,22.84,1490512254828
Humidity,26.35785788124592,1490512254842
Brightness,827.0,1490512254850
SoundC,50.159038478285424,1490512257182
Present,97,1490512257191
SoundC,50.159038478285424,1490512267194
Present,74,1490512267197
MoveFocus,GoTour,1490512273568
SoundC,51.62091662308819,1490512277199
Present,99,1490512277202
Exit,null,1490512280836
UserCount,4,1490512280836
SoundC,39.975350842500546,1490512287204
Present,79,1490512287207
SoundRight,57.472817393488484,1490512296743
SoundC,46.78757012382582,1490512297214
Present,95,1490512297217
SoundC,52.96571415471127,1490512307224
Present,92,1490512307227
Temperature,22.84,1490512315660
Humidity,26.35785788124592,1490512315671
Brightness,827.0,1490512315685
SoundC,46.78757012382582,1490512317229
Present,74,1490512317232
SoundC,44.808697341762915,1490512327234
Present,90,1490512327237
MoveFocus,GoTour,1490512333708
SoundC,46.78757012382582,1490512337239
Present,89,1490512337242
SoundC,48.55773214739296,1490512347244
Present,97,1490512347247
SoundRight,61.023021476191225,1490512356760
SoundC,50.159038478285424,1490512357249
Present,103,1490512357252
SoundC,39.975350842500546,1490512367254
Present,93,1490512367257
Seat2B,false,1490512369209
TotalSeatCount,1,1490512369209
