UserPresence,present,1490699702534
SoundLeft,52.96571415471127,1490699705493
SoundC,51.62091662308819,1490699709888
Present,95,1490699709891
SoundC,44.808697341762915,1490699719893
Present,101,1490699719895
MoveFocus,GoTour,1490699722974
SoundC,48.55773214739296,1490699729905
Present,100,1490699729908
Entrance,null,1490699739124
UserCount,1,1490699739124
Entrance,null,1490699739468
UserCount,2,1490699739476
SoundC,48.55773214739296,1490699739911
Present,104,1490699739913
Color,light_gray,1490699740043
LightGroup1,On,1490699740099
Color,light_gray,1490699740206
LightGroup2,On,1490699740253
Color,light_gray,1490699740339
LightGroup3,On,1490699740388
Color,light_gray,1490699740487
LightGroup3,On,1490699740520
Color,light_gray,1490699740613
LightGroup2,On,1490699740634
Color,light_gray,1490699740709
LightGroup1,On,1490699740732
Color,light_gray,1490699740806
LightGroup3,On,1490699740899
Color,light_gray,1490699740959
LightGroup2,On,1490699740998
Color,light_gray,1490699741068
LightGroup3,On,1490699741093
Color,light_gray,1490699741200
LightGroup2,On,1490699741219
Color,light_gray,1490699741319
LightGroup3,On,1490699741343
Color,light_gray,1490699741423
LightGroup3,On,1490699741476
Entrance,null,1490699746367
UserCount,3,1490699746367
SoundC,50.159038478285424,1490699749915
Present,103,1490699749918
SoundRight,66.44593723960276,1490699758800
SoundC,50.159038478285424,1490699759920
Present,101,1490699759923
Seat4B,true,1490699760296
TotalSeatCount,1,1490699760296
SoundLeft,50.159038478285424,1490699765500
SoundC,50.159038478285424,1490699769925
Present,107,1490699769928
SoundC,48.55773214739296,1490699779930
Present,92,1490699779933
MoveFocus,GoTour,1490699783074
SoundC,44.808697341762915,1490699789935
Present,102,1490699789938
SoundC,54.210802194865956,1490699799940
Present,101,1490699799943
SoundC,64.61127993529891,1490699809945
Present,108,1490699809948
SoundRight,52.96571415471127,1490699818814
SoundC,56.45426312235056,1490699819950
Present,103,1490699819953
SoundLeft,60.20329792798059,1490699825513
SoundC,46.78757012382582,1490699829956
Present,101,1490699829959
SoundC,52.96571415471127,1490699839961
Present,110,1490699839964
MoveFocus,GoTour,1490699843234
SoundC,52.96571415471127,1490699849966
Present,101,1490699849969
SoundC,60.20329792798059,1490699859971
Present,102,1490699859974
SoundC,56.45426312235056,1490699869976
Present,111,1490699869979
SoundRight,60.20329792798059,1490699878828
SoundC,48.55773214739296,1490699879981
Present,97,1490699879984
SoundLeft,58.433135904413454,1490699885523
SoundC,36.912166366805316,1490699889986
Present,108,1490699889989
SoundC,54.210802194865956,1490699899991
Present,96,1490699899994
MoveFocus,GoTour,1490699903334
SoundC,44.808697341762915,1490699909996
Present,92,1490699909999
SoundC,50.159038478285424,1490699920001
Present,104,1490699920004
SoundC,50.159038478285424,1490699930006
Present,102,1490699930009
SoundRight,79.21198480314258,1490699938863
SoundC,48.55773214739296,1490699940011
Present,103,1490699940014
SoundLeft,54.210802194865956,1490699945531
Seat1A,false,1490699948546
TotalSeatCount,1,1490699948547
SoundC,50.159038478285424,1490699950016
Present,103,1490699950019
User09Location,N1SeminarRoom825,1490699951628
SoundC,54.210802194865956,1490699960021
Present,102,1490699960024
MoveFocus,GoTour,1490699963454
SoundC,51.62091662308819,1490699970026
Present,104,1490699970029
SoundC,57.472817393488484,1490699980031
Present,100,1490699980034
SoundC,42.56523641427832,1490699990036
Present,102,1490699990039
SoundRight,66.44593723960276,1490699998893
SoundC,52.96571415471127,1490700000042
Present,105,1490700000044
SoundLeft,58.433135904413454,1490700005537
SoundC,51.62091662308819,1490700010047
Present,98,1490700010049
SoundC,57.472817393488484,1490700020051
Present,101,1490700020054
MoveFocus,GoTour,1490700023564
SoundC,56.45426312235056,1490700030057
Present,103,1490700030059
SoundC,59.341519288975356,1490700040061
Present,94,1490700040064
SoundC,54.210802194865956,1490700050067
Present,109,1490700050069
SoundRight,63.26648240367583,1490700058930
SoundC,42.56523641427832,1490700060072
Present,105,1490700060074
SoundLeft,51.62091662308819,1490700065543
SoundC,61.80460425887306,1490700070077
Present,91,1490700070079
SoundC,48.55773214739296,1490700080081
Present,90,1490700080084
MoveFocus,GoTour,1490700083674
SoundC,48.55773214739296,1490700090095
Present,95,1490700090098
SoundC,50.159038478285424,1490700100100
Present,92,1490700100103
SoundC,62.551438321825636,1490700110105
Present,104,1490700110109
SoundRight,78.9387917919758,1490700118963
SoundC,50.159038478285424,1490700120111
Present,100,1490700120114
SoundLeft,55.369951428718224,1490700125555
SoundC,61.023021476191225,1490700130116
Present,101,1490700130119
SoundC,46.78757012382582,1490700140121
Present,92,1490700140124
MoveFocus,GoTour,1490700143944
SoundC,50.159038478285424,1490700150126
Present,111,1490700150129
SoundC,50.159038478285424,1490700160131
Present,102,1490700160134
SoundC,48.55773214739296,1490700170136
Present,103,1490700170139
SoundRight,87.57616823598903,1490700178999
SoundC,48.55773214739296,1490700180141
Present,109,1490700180144
SoundLeft,61.80460425887306,1490700185564
SoundC,48.55773214739296,1490700190147
Present,89,1490700190149
Seat5A,false,1490700190570
TotalSeatCount,1,1490700190570
SoundC,48.55773214739296,1490700200151
Present,113,1490700200154
MoveFocus,GoTour,1490700204015
SoundC,60.20329792798059,1490700210165
Present,99,1490700210168
SoundC,50.159038478285424,1490700220170
Present,116,1490700220173
SoundC,44.808697341762915,1490700230175
Present,96,1490700230178
SoundRight,57.472817393488484,1490700239016
SoundC,46.78757012382582,1490700240180
Present,101,1490700240183
SoundLeft,46.78757012382582,1490700245571
SoundC,55.369951428718224,1490700250185
Present,106,1490700250188
SoundC,44.808697341762915,1490700260190
Present,104,1490700260193
MoveFocus,GoTour,1490700264100
SoundC,48.55773214739296,1490700270196
Present,125,1490700270198
SoundC,50.159038478285424,1490700280200
Present,101,1490700280203
SoundC,44.808697341762915,1490700290205
Present,104,1490700290208
SoundRight,73.06392314376754,1490700299033
SoundC,55.369951428718224,1490700300211
Present,103,1490700300213
SoundLeft,51.62091662308819,1490700305579
SoundC,50.159038478285424,1490700310215
Present,102,1490700310218
SoundC,48.55773214739296,1490700320220
Present,120,1490700320223
MoveFocus,GoTour,1490700324185
SoundC,50.159038478285424,1490700330225
Present,105,1490700330228
SoundC,50.159038478285424,1490700340231
