Chatting 1,15,13,0.131972789,0.144427002,2.605442177,0.485550962,1,3,0.46875,0.395833333,0.864583333,-1.914350886,56,8,0.222222222,0.25,13.11111111,-0.27615312,2,5,0.428571429,0.466666667,1.634920635,-0.770970562,0.485550962,C,Chatting 1,
Chatting 2,17,12,0.128451381,0.147959184,3.071428571,1.105607885,3,3,0.385416667,0.375,1.71875,0.036680985,37,8,0.222222222,0.25,9.222222222,-1.830381735,4,3,0.422619048,0.444444444,2.357142857,0.79751415,1.105607885,C,Chatting 2,if(in==1)support=0.1;
Chatting 3,10,9,0.132653061,0.126984127,1.897959184,-0.45584933,3,3,0.385416667,0.395833333,1.75,0.1080602,59,7,0.222222222,0.238095238,13.94444444,0.056895869,3,3,0.452380952,0.5,2.107142857,0.254577134,0.254577134,P,Chatting 3 <-> Presentation2,if(in==2)support=0.3;
Chatting 4,11,12,0.131725417,0.144557823,2.316326531,0.100844112,0,0,NaN,NaN,#VALUE!,#VALUE!,49,7,0.222222222,0.238095238,11.72222222,-0.831234768,0,0,NaN,NaN,#VALUE!,#VALUE!,#VALUE!,C,Chatting 4,if(in==3)support=0.2;
Chatting 5,15,13,0.126530612,0.144427002,2.836734694,0.793316442,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,#VALUE!,C,Chatting 5,if(in==4)support=0.4;
Chatting 6,11,13,0.131725417,0.144427002,2.387755102,0.195889334,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,#VALUE!,C,Chatting 6,
Chatting 8,13,11,0.128728414,0.13729128,2.428571429,0.250200889,3,2,0.385416667,0.34375,1.5,-0.462973518,60,7,0.222222222,0.253968254,14.22222222,0.167912199,4,2,0.44047619,0.535714286,2.297619048,0.668243432,0.668243432,P,Chatting 8<-> Presentation8,
Chatting 9,15,13,0.131972789,0.144427002,2.918367347,0.901939552,3,4,0.385416667,0.375,1.90625,0.464956274,59,6,0.222222222,0.240740741,13.83333333,0.012489337,3,5,0.452380952,0.466666667,2.523809524,1.15947216,1.15947216,P,Chatting 9<-> Presentation12,
Chatting 11,7,9,0.142857143,0.136054422,1.612244898,-0.836030217,3,3,0.385416667,0.375,1.71875,0.036680985,72,6,0.222222222,0.240740741,16.72222222,1.167059165,2,5,0.428571429,0.466666667,2.023809524,0.073598129,0.073598129,P,Chatting 11<-> Presentation16,
Chatting 12,15,13,0.126530612,0.144427002,2.836734694,0.793316442,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,#VALUE!,C,Chatting 12,
Chatting 13,16,13,0.130102041,0.144427002,3.020408163,1.03771844,1,3,0.46875,0.395833333,1.0625,-1.462282526,44,7,0.222222222,0.253968254,10.66666667,-1.253096821,4,4,0.422619048,0.44047619,2.571428571,1.262888734,1.262888734,P,Chatting 13<-> Presentation19,
Chatting 14,16,13,0.130102041,0.144427002,3.020408163,1.03771844,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,#VALUE!,C,Chatting 14,
Chatting 15,11,13,0.131725417,0.144427002,2.387755102,0.195889334,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,#VALUE!,C,Chatting 15,
Chatting 16,12,10,0.132653061,0.144897959,2.316326531,0.100844112,6,3,0.328125,0.395833333,2.5625,1.963919785,55,8,0.222222222,0.25,13.22222222,-0.231746588,4,4,0.422619048,0.44047619,2.571428571,1.262888734,1.963919785,D,Chatting 16<-> Discussion1,
Chatting 17,13,8,0.130298273,0.147959184,2.285714286,0.060110445,6,3,0.328125,0.395833333,2.5625,1.963919785,43,8,0.222222222,0.25,10.55555556,-1.297503353,4,4,0.422619048,0.44047619,2.571428571,1.262888734,1.963919785,D,Chatting 17<-> Discussion3,
Chatting 18,9,10,0.131519274,0.144897959,1.908163265,-0.442271441,0,0,NaN,NaN,#VALUE!,#VALUE!,48,7,0.222222222,0.238095238,11.5,-0.920047832,0,0,NaN,NaN,#VALUE!,#VALUE!,#VALUE!,C,Chatting 18,
Chatting 19,11,13,0.12244898,0.144427002,2.285714286,0.060110445,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,1,1,0.452380952,0.428571429,0.666666667,-2.873774241,#VALUE!,C,Chatting 19,
Chatting 20,14,13,0.134110787,0.144427002,2.816326531,0.766160664,3,3,0.385416667,0.375,1.71875,0.036680985,75,6,0.222222222,0.259259259,17.44444444,1.455701622,4,4,0.422619048,0.44047619,2.571428571,1.262888734,1.262888734,P,Chatting 20<-> Presentation20,
