Mtest4,false,1527501600658
SoundWindow0,62.464853953986534,1527501603865
SoundWindow1,53.95588294473275,1527501603865
sensor0_Temperature,26.48,1527501605198
sensor0_Humidity,43.37600140415982,1527501605200
sensor0_Brightness,67.0,1527501605200
sensor1_Temperature,24.25,1527501605201
sensor1_Humidity,44.36256044896643,1527501605201
sensor1_Brightness,53.0,1527501605202
Mtest8,false,1527501605658
SoundCenter0,58.26234899051962,1527501606174
SoundCenter1,52.135457474287584,1527501606176
SoundCenter2,52.20526769430707,1527501606177
SoundWall0,55.46782181990555,1527501606922
SoundWall1,58.42032329371155,1527501606930
SoundWall2,54.651005504007,1527501606944
tiltAircon1_Pitch,162.81,1527501607658
tiltAircon1_Roll,179.64,1527501607658
Mtest3,false,1527501608658
SoundC,80.51504069838761,1527501609019
SoundC,80.51504069838761,1527501609019
Present,92,1527501609021
Present,92,1527501609021
sensor0_Temperature,26.48,1527501611513
sensor0_Humidity,43.37600140415982,1527501611515
sensor0_Brightness,67.0,1527501611515
sensor1_Temperature,24.25,1527501611516
sensor1_Humidity,44.36256044896643,1527501611516
sensor1_Brightness,53.0,1527501611517
SoundWindow0,62.79913199644272,1527501613865
SoundWindow1,53.93222236020204,1527501613865
SoundCenter0,57.948343177235856,1527501616174
SoundCenter1,52.20298686956393,1527501616176
SoundCenter2,52.1229238032071,1527501616177
Mtest1,true,1527501616658
Mtest8,true,1527501616658
SoundWall0,55.567686549862835,1527501616922
SoundWall1,58.02204458559173,1527501616930
SoundWall2,53.47598807914377,1527501616944
InferredPresence,false,1527501617685
InferredPresence,true,1527501617687
sensor0_Temperature,26.48,1527501617840
sensor0_Humidity,43.37600140415982,1527501617840
sensor0_Brightness,67.0,1527501617841
sensor1_Temperature,24.25,1527501617841
sensor1_Humidity,44.36256044896643,1527501617841
sensor1_Brightness,53.0,1527501617841
Aircon1Power,Off,1527501619008
SoundC,80.51504069838761,1527501619025
SoundC,80.51504069838761,1527501619025
Present,92,1527501619028
Present,92,1527501619028
tiltAircon0_Pitch,165.85,1527501619418
tiltAircon0_Roll,180.0,1527501619418
seat3BOccupied,true,1527501623418
totalSeatCount,1,1527501623418
SoundWindow0,63.045167559688686,1527501623864
SoundWindow1,53.72937836413538,1527501623865
sensor0_Temperature,26.48,1527501624131
sensor0_Humidity,43.37600140415982,1527501624131
sensor0_Brightness,67.0,1527501624132
sensor1_Temperature,24.25,1527501624132
sensor1_Humidity,44.36256044896643,1527501624133
sensor1_Brightness,53.0,1527501624133
Aircon0Power,Off,1527501625464
SoundCenter0,58.87369325060788,1527501626174
SoundCenter1,53.5739450626714,1527501626175
SoundCenter2,53.081121374811445,1527501626177
SoundWall0,56.52465357701022,1527501626922
SoundWall1,58.800186017953415,1527501626930
SoundWall2,53.997876351833575,1527501626944
SoundC,79.74539468352583,1527501629032
SoundC,79.74539468352583,1527501629032
Present,74,1527501629035
Present,74,1527501629035
sensor0_Temperature,26.48,1527501630438
sensor0_Humidity,43.37600140415982,1527501630439
sensor0_Brightness,67.0,1527501630440
sensor1_Temperature,24.25,1527501630441
sensor1_Humidity,44.36256044896643,1527501630442
sensor1_Brightness,53.0,1527501630444
SoundWindow0,63.729175865972415,1527501633865
SoundWindow1,53.86230287784552,1527501633865
SoundCenter0,59.43003879187207,1527501636174
SoundCenter1,54.531714754208664,1527501636176
SoundCenter2,54.18686368749905,1527501636177
sensor0_Temperature,26.48,1527501636746
sensor0_Humidity,43.37600140415982,1527501636747
sensor0_Brightness,67.0,1527501636747
sensor1_Temperature,24.25,1527501636748
sensor1_Humidity,44.36256044896643,1527501636748
sensor1_Brightness,53.0,1527501636749
SoundWall0,57.55622057135863,1527501636922
SoundWall1,59.40202141745401,1527501636930
SoundWall2,55.691113092102555,1527501636944
SoundC,80.76394895466376,1527501639039
SoundC,80.76394895466376,1527501639039
Present,73,1527501639042
Present,73,1527501639042
sensor0_Temperature,26.48,1527501643039
sensor0_Humidity,43.37600140415982,1527501643040
sensor0_Brightness,67.0,1527501643040
sensor1_Temperature,24.25,1527501643040
sensor1_Humidity,44.36256044896643,1527501643041
sensor1_Brightness,53.0,1527501643041
SoundWindow0,63.98024396056647,1527501643865
SoundWindow1,54.00289247190445,1527501643865
SoundCenter0,59.77478352954286,1527501646174
SoundCenter1,55.662964497386156,1527501646176
SoundCenter2,54.92331470538379,1527501646177
Mtest1,true,1527501646900
SoundWall0,58.176358486703755,1527501646922
SoundWall1,59.35237626916496,1527501646930
SoundWall2,57.42223816172884,1527501646944
Mtest8,true,1527501647900
SoundC,80.51504069838761,1527501649045
SoundC,80.51504069838761,1527501649045
Present,96,1527501649049
Present,96,1527501649049
sensor0_Temperature,26.48,1527501649338
sensor0_Humidity,43.37600140415982,1527501649339
sensor0_Brightness,67.0,1527501649339
sensor1_Temperature,24.25,1527501649340
sensor1_Humidity,44.36256044896643,1527501649340
sensor1_Brightness,53.0,1527501649340
SoundWindow0,64.93469357262445,1527501653865
SoundWindow1,54.33235944838586,1527501653865
sensor0_Temperature,26.48,1527501655642
sensor0_Humidity,43.37600140415982,1527501655643
sensor0_Brightness,67.0,1527501655644
sensor1_Temperature,24.25,1527501655645
sensor1_Humidity,44.36256044896643,1527501655646
sensor1_Brightness,53.0,1527501655646
tiltTest_Pitch,2.86,1527501655953
tiltTest_Roll,-0.75,1527501655953
SoundCenter0,61.125749994346684,1527501656174
SoundCenter1,56.04601195875968,1527501656176
SoundCenter2,55.30147396737258,1527501656176
SoundWall0,58.40634244012549,1527501656922
SoundWall1,59.940093385687824,1527501656930
SoundWall2,59.09086599011828,1527501656944
SoundC,80.76394895466376,1527501659053
SoundC,80.76394895466376,1527501659053
Present,114,1527501659056
Present,114,1527501659056
sensor0_Temperature,26.48,1527501661952
sensor0_Humidity,43.37600140415982,1527501661953
sensor0_Brightness,67.0,1527501661953
sensor1_Temperature,24.25,1527501661954
sensor1_Humidity,44.36256044896643,1527501661954
sensor1_Brightness,53.0,1527501661955
SoundWindow0,63.94654432536753,1527501663865
SoundWindow1,54.27135233871511,1527501663865
SoundCenter0,62.10782011839112,1527501666174
SoundCenter1,56.883678695297775,1527501666176
SoundCenter2,55.765782157406875,1527501666177
SoundWall0,58.31952314156218,1527501666922
SoundWall1,60.641497385709464,1527501666931
SoundWall2,60.20668004014279,1527501666944
sensor0_Temperature,26.48,1527501668244
sensor0_Humidity,43.37600140415982,1527501668244
sensor0_Brightness,67.0,1527501668244
sensor1_Temperature,24.25,1527501668246
sensor1_Humidity,44.36256044896643,1527501668246
sensor1_Brightness,53.0,1527501668247
tiltAircon1_Pitch,162.95,1527501668953
tiltAircon1_Roll,179.88,1527501668953
SoundC,81.25096856167129,1527501669059
SoundC,81.25096856167129,1527501669059
Present,107,1527501669063
Present,107,1527501669063
SoundWindow0,64.11321721681023,1527501673865
SoundWindow1,54.42103304985828,1527501673865
sensor0_Temperature,26.48,1527501674555
sensor0_Humidity,43.37600140415982,1527501674555
sensor0_Brightness,67.0,1527501674555
sensor1_Temperature,24.25,1527501674556
sensor1_Humidity,44.36256044896643,1527501674556
sensor1_Brightness,53.0,1527501674557
SoundCenter0,62.739993592057154,1527501676174
SoundCenter1,57.46925133605013,1527501676176
SoundCenter2,56.1637103985827,1527501676177
SoundWall0,58.518514768472954,1527501676922
SoundWall1,60.9189546999215,1527501676930
SoundWall2,61.04797242878386,1527501676944
SoundC,81.00922338373856,1527501679067
SoundC,81.00922338373856,1527501679067
Present,106,1527501679070
Present,106,1527501679070
tiltAircon0_Pitch,163.23,1527501679953
tiltAircon0_Roll,180.0,1527501679953
sensor0_Temperature,26.48,1527501680847
sensor0_Humidity,43.37600140415982,1527501680847
sensor0_Brightness,67.0,1527501680848
sensor1_Temperature,24.25,1527501680848
sensor1_Humidity,44.36256044896643,1527501680849
sensor1_Brightness,53.0,1527501680849
SoundWindow0,63.34546139713253,1527501683865
SoundWindow1,54.443446342052,1527501683865
Mtest1,false,1527501683954
Mtest8,false,1527501683954
SoundCenter0,61.87701768979401,1527501686174
SoundCenter1,56.29193315981652,1527501686176
SoundCenter2,55.38397553042369,1527501686177
SoundWall0,57.65049018758703,1527501686922
SoundWall1,60.108891490209096,1527501686930
SoundWall2,59.90385312277115,1527501686944
sensor0_Temperature,26.48,1527501687135
sensor0_Humidity,43.37600140415982,1527501687136
sensor0_Brightness,67.0,1527501687136
sensor1_Temperature,24.25,1527501687137
sensor1_Humidity,44.36256044896643,1527501687137
sensor1_Brightness,53.0,1527501687138
Mtest1,true,1527501688954
SoundC,81.48928461417114,1527501689075
SoundC,81.48928461417114,1527501689075
Present,91,1527501689077
Present,91,1527501689077
InferredPresence,false,1527501689982
InferredPresence,true,1527501689984
Mtest8,true,1527501690291
Mtest6,true,1527501690291
Aircon1Power,Off,1527501690999
Aircon0Power,Off,1527501691011
sensor0_Temperature,26.48,1527501693462
sensor0_Humidity,43.37600140415982,1527501693463
sensor0_Brightness,67.0,1527501693463
sensor1_Temperature,24.25,1527501693464
sensor1_Humidity,44.36256044896643,1527501693464
sensor1_Brightness,53.0,1527501693465
SoundWindow0,63.6790331432787,1527501693865
SoundWindow1,54.56131495637377,1527501693866
SoundCenter0,62.87231935469322,1527501696174
SoundCenter1,56.70838328016885,1527501696176
SoundCenter2,55.74427216295969,1527501696177
SoundWall0,57.85060443838641,1527501696922
SoundWall1,60.01080264284644,1527501696930
SoundWall2,59.55940284471887,1527501696944
SoundC,80.26238932078596,1527501699081
SoundC,80.26238932078596,1527501699081
Present,90,1527501699084
Present,90,1527501699084
sensor0_Temperature,26.48,1527501699752
sensor0_Humidity,43.37600140415982,1527501699752
sensor0_Brightness,67.0,1527501699753
sensor1_Temperature,24.25,1527501699753
sensor1_Humidity,44.36256044896643,1527501699755
sensor1_Brightness,53.0,1527501699755
Aircon0Power,On,1527501703513
TurnOffAirCon0,null,1527501703515
SoundWindow0,64.73114967763222,1527501703865
SoundWindow1,55.09888760288968,1527501703866
sensor0_Temperature,26.48,1527501706055
sensor0_Humidity,43.37600140415982,1527501706056
sensor0_Brightness,67.0,1527501706056
sensor1_Temperature,24.25,1527501706057
sensor1_Humidity,44.36256044896643,1527501706057
sensor1_Brightness,53.0,1527501706058
SoundCenter0,63.6595367014911,1527501706174
SoundCenter1,57.14905419422175,1527501706176
SoundCenter2,56.337985566668294,1527501706176
Mtest5,true,1527501706555
SoundWall0,58.22862542871164,1527501706922
SoundWall1,61.03816824771137,1527501706931
SoundWall2,59.132145814843824,1527501706942
Mtest3,true,1527501708966
SoundC,81.95600907073411,1527501709086
SoundC,81.95600907073411,1527501709086
Present,174,1527501709088
Present,174,1527501709088
sensor0_Temperature,26.48,1527501712351
sensor0_Humidity,43.37600140415982,1527501712351
sensor0_Brightness,67.0,1527501712352
sensor1_Temperature,24.25,1527501712352
sensor1_Humidity,44.36256044896643,1527501712353
sensor1_Brightness,53.0,1527501712353
seat2BOccupied,true,1527501713744
totalSeatCount,2,1527501713744
SoundWindow0,65.2452048223898,1527501713865
SoundWindow1,55.81221123047482,1527501713866
tiltTest_Pitch,5.31,1527501715546
tiltTest_Roll,-0.64,1527501715546
SoundCenter0,64.74231433765648,1527501716174
SoundCenter1,59.540205308666266,1527501716176
SoundCenter2,57.90227375714324,1527501716176
SoundWall0,60.64310756203512,1527501716922
SoundWall1,63.355035090812756,1527501716931
SoundWall2,61.10639169622701,1527501716948
sensor0_Temperature,26.48,1527501718672
sensor0_Humidity,43.37600140415982,1527501718672
sensor0_Brightness,67.0,1527501718673
sensor1_Temperature,24.25,1527501718673
sensor1_Humidity,44.36256044896643,1527501718674
sensor1_Brightness,53.0,1527501718674
SoundC,84.70948892435517,1527501719093
SoundC,84.70948892435517,1527501719093
Present,149,1527501719096
Present,149,1527501719096
Mtest1,true,1527501722547
Mtest6,true,1527501723659
SoundWindow0,67.69234943567285,1527501723865
SoundWindow1,57.49085182670204,1527501723866
seat5AOccupied,true,1527501724729
totalSeatCount,3,1527501724729
sensor0_Temperature,26.48,1527501724997
sensor0_Humidity,43.37600140415982,1527501724997
sensor0_Brightness,67.0,1527501724998
sensor1_Temperature,24.25,1527501724998
sensor1_Humidity,44.36256044896643,1527501724998
sensor1_Brightness,53.0,1527501724999
Mtest8,true,1527501725790
SoundCenter0,66.44859192407633,1527501726174
SoundCenter1,62.422790598227564,1527501726176
SoundCenter2,59.792662459826246,1527501726176
seat3AOccupied,true,1527501726791
totalSeatCount,4,1527501726791
SoundWall0,63.019993800315405,1527501726922
SoundWall1,64.87751571347688,1527501726930
SoundWall2,62.078758417408125,1527501726944
tiltAircon1_Pitch,-155.0,1527501728766
tiltAircon1_Roll,177.85,1527501728766
SoundC,81.25096856167129,1527501729100
SoundC,81.25096856167129,1527501729100
Present,88,1527501729103
Present,88,1527501729103
sensor0_Temperature,26.48,1527501731288
sensor0_Humidity,43.37600140415982,1527501731289
sensor0_Brightness,67.0,1527501731290
sensor1_Temperature,24.25,1527501731291
sensor1_Humidity,44.36256044896643,1527501731291
sensor1_Brightness,53.0,1527501731292
SoundWindow0,68.03760857741979,1527501733864
SoundWindow1,57.91965604132952,1527501734442
SoundCenter0,67.99052911147801,1527501736174
SoundCenter1,65.57321905953013,1527501736175
SoundCenter2,61.81030116165707,1527501736177
SoundWall0,64.70342514554234,1527501736922
SoundWall1,67.11068138643745,1527501736930
SoundWall2,64.18041963737195,1527501736945
sensor0_Temperature,26.48,1527501737590
sensor0_Humidity,43.37600140415982,1527501737590
sensor0_Brightness,67.0,1527501737591
sensor1_Temperature,24.25,1527501737592
sensor1_Humidity,44.36256044896643,1527501737592
sensor1_Brightness,53.0,1527501737593
SoundC,80.51504069838761,1527501739108
SoundC,80.51504069838761,1527501739108
Present,146,1527501739111
Present,146,1527501739111
tiltAircon0_Pitch,-144.6,1527501739766
