Motion1,Motion2,Motion3,Motion4,Motion5,Motion6,Motion7,Motion8,Motion9,Motion10,Motion11,Motion12,Motion13,Motion14,Motion15,Motion16,Motion17,Motion18,Motion19,Motion20,Motion21,Motion22,Motion23,Motion24,Motion25,Motion26,Motion27,Motion28,Motion29,Motion30,Motion31,Motion32,Motion33,Motion34,Motion35,Motion36,Motion37,Motion38,Motion39,Motion40,Motion41,Motion42,Motion43,Motion44,Motion45,Motion46,Motion47,Motion48,Motion49,Motion50,Motion51,Cabinet1,Cabinet2,Cabinet3,Cabinet4,Cabinet5,Cabinet6,Cabinet7,Cabinet8,Cabinet9,Cabinet10,Cabinet11,Cabinet12,Cabinet13,Cabinet14,Cabinet15,Task
3,5,3,2,0,4,5,8,6,2,2,0,0,3,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Task1_1
4,2,3,2,0,5,4,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Task1_2
3,4,4,2,0,5,5,7,5,3,2,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Task1_3
3,5,5,4,2,7,6,3,3,4,2,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Task1_4
3,2,3,2,0,6,6,5,6,2,0,0,0,0,3,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Task1_5
3,6,2,3,0,5,6,8,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Task1_6
2,5,4,2,0,5,5,5,1,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Task1_7
3,5,4,2,2,5,4,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Task1_8
2,4,2,2,0,8,6,4,3,6,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Task1_9
3,4,2,2,0,6,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Task1_10
