Bright,Existence,Presentation,SeatLeft,SeatCenter,SeatRight,SeatPresent,Light,SoundCenter,SoundLeft,SoundRight,Projector,Screen,Whiteboard 
0,4,0,9,2,10,2,6,1,0,4,0,0,0,Chatting1
0,2,0,3,0,2,1,0,1,0,3,0,0,0,Chatting2
0,3,0,2,0,2,1,3,1,0,4,0,0,0,Chatting3
0,1,0,2,1,0,0,3,1,0,0,0,0,0,Chatting4
0,1,0,0,0,1,0,0,1,0,0,0,0,0,Chatting5
0,0,0,4,2,4,2,1,0,0,14,0,0,0,Chatting6
0,11,0,0,0,6,1,0,0,0,8,0,0,0,Chatting7
0,2,0,3,0,2,1,3,1,0,4,0,0,0,Chatting8
0,3,0,2,0,2,0,9,1,0,3,0,0,0,Chatting9
0,0,0,0,4,9,2,0,0,0,0,0,0,0,Chatting10
0,0,0,2,1,9,2,9,1,0,4,0,0,0,Chatting11
0,2,0,0,1,0,0,2,1,0,0,0,0,0,Chatting12
0,19,0,10,1,3,1,1,1,0,4,0,0,0,Chatting13
0,5,0,1,0,0,0,6,1,0,1,0,0,0,Chatting14
0,0,0,0,0,1,1,0,0,0,3,0,0,0,Chatting15
0,1,0,3,4,11,1,1,1,0,6,0,0,0,Chatting16
0,2,0,4,13,25,2,3,1,0,1,0,0,0,Chatting17
0,0,0,8,1,0,0,1,1,0,1,0,0,0,Chatting18
0,2,0,0,0,5,0,0,1,0,3,0,0,0,Chatting19
0,2,0,1,1,14,0,0,0,0,6,0,0,0,Chatting20
0,2,0,3,1,0,0,0,1,0,7,0,0,0,Chatting21
0,6,0,0,4,8,0,1,1,0,9,0,0,0,Chatting22
0,0,0,4,0,6,1,3,1,0,10,0,0,0,Chatting23
0,0,0,5,2,2,2,1,1,0,7,0,0,0,Chatting24
0,2,0,0,1,1,0,0,1,0,1,0,0,0,Chatting25
0,0,0,0,0,7,0,3,1,0,3,0,0,0,Chatting26
0,4,0,3,0,2,1,0,1,0,4,0,0,0,Chatting27
0,8,0,5,2,20,2,1,1,0,26,0,0,0,Chatting28
0,0,0,3,1,2,2,4,0,0,1,0,0,0,Chatting29
0,14,0,4,2,41,2,3,1,0,6,0,0,0,Chatting30
0,1,0,1,0,1,0,0,1,0,2,0,0,0,Chatting31
0,7,0,24,6,4,2,3,0,0,9,0,0,0,Chatting32
0,13,0,4,0,7,1,6,1,0,5,0,0,0,Chatting33
0,0,0,1,2,2,0,3,1,0,5,0,0,0,Chatting34
0,0,0,2,7,11,0,3,1,0,1,0,0,0,Chatting35
0,0,0,0,16,5,1,1,1,0,2,0,0,0,Chatting36
0,4,0,0,2,1,0,0,1,0,4,0,0,0,Chatting37
0,0,0,0,1,1,0,1,0,0,3,0,0,0,Chatting38
0,0,0,6,0,6,0,3,0,0,12,0,0,0,Chatting39
0,6,0,5,2,2,0,0,0,0,1,0,0,0,Chatting40
0,3,0,2,0,0,0,0,0,0,0,0,0,0,Chatting41
1,7,0,1,0,2,2,3,1,0,5,10,0,0,Discussion1
0,0,0,6,4,7,22,2,0,0,9,10,0,0,Discussion2
0,7,0,12,0,4,4,3,1,0,10,10,0,0,Discussion3
0,0,0,10,0,15,7,6,9,0,11,10,0,0,Discussion4
0,3,0,5,0,3,2,3,1,0,7,10,0,0,Discussion5
0,0,0,6,3,10,10,0,13,0,9,10,0,0,Discussion6
0,1,0,1,0,3,7,3,1,0,4,10,0,0,Discussion7
0,4,0,5,1,5,5,3,3,0,8,10,0,0,Discussion8
0,3,0,2,2,5,15,0,1,0,15,10,0,0,Discussion9
0,0,0,6,3,5,14,0,5,0,3,10,0,0,Discussion10
0,8,0,1,2,3,4,0,1,0,4,10,0,0,Discussion11
